,room_id,room_type,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
215,211616,Entire home/apt,4.5,4.0,1.0,96.0,3.0,38.712533,-9.12632
216,212549,Entire home/apt,4.5,3.0,1.0,84.0,,38.713223,-9.146585
217,212915,Private room,,,1.0,111.0,1.0,38.75455,-9.199891
218,214694,Private room,5.0,2.0,1.0,56.0,3.0,38.70898,-9.136706
219,214729,Private room,,2.0,1.0,42.0,1.0,38.75048,-9.145998
220,215322,Entire home/apt,4.5,4.0,1.0,78.0,4.0,38.714025,-9.125802
221,216881,Entire home/apt,4.5,,2.0,89.0,3.0,38.760304,-9.154754
222,217187,Entire home/apt,4.5,3.0,1.0,56.0,1.0,38.714397,-9.128122
223,217301,Private room,,1.0,1.0,28.0,1.0,38.750462,-9.146656
224,218280,Private room,,2.0,1.0,39.0,1.0,38.716056,-9.160059
225,220359,Entire home/apt,4.0,4.0,1.0,84.0,2.0,38.735237,-9.150351
226,224316,Private room,5.0,2.0,1.0,56.0,3.0,38.71806,-9.140252
227,227225,Entire home/apt,4.0,4.0,1.0,78.0,2.0,38.71136,-9.151292
228,229846,Entire home/apt,4.0,3.0,1.0,63.0,2.0,38.714107,-9.12456
229,231379,Private room,4.5,2.0,1.0,42.0,3.0,38.720052,-9.135278
230,231385,Private room,,1.0,1.0,21.0,2.0,38.745098,-9.138529
231,232858,Entire home/apt,,5.0,2.0,132.0,1.0,38.712186,-9.137695
232,235404,Entire home/apt,4.5,4.0,1.0,56.0,1.0,38.711642,-9.129764
233,236138,Entire home/apt,4.5,3.0,1.0,77.0,2.0,38.715172,-9.145945
234,236176,Entire home/apt,4.5,3.0,2.0,95.0,7.0,38.719954,-9.122042
235,239018,Private room,5.0,2.0,1.0,45.0,2.0,38.735985,-9.155878
236,242169,Private room,4.5,2.0,1.0,35.0,2.0,38.720291,-9.133794
237,242394,Entire home/apt,4.5,,3.0,77.0,,38.750878,-9.187133
238,243490,Entire home/apt,4.5,4.0,1.0,82.0,3.0,38.711493,-9.137723
239,244494,Entire home/apt,5.0,,2.0,181.0,1.0,38.710684,-9.141008
240,248849,Entire home/apt,5.0,4.0,1.0,63.0,2.0,38.725944,-9.133361
241,250089,Entire home/apt,4.5,2.0,0.0,49.0,2.0,38.712876,-9.134512
242,250288,Entire home/apt,4.5,2.0,1.0,56.0,2.0,38.713582,-9.1342
243,250491,Entire home/apt,4.5,2.0,1.0,77.0,3.0,38.716359,-9.137828
244,252744,Entire home/apt,5.0,,3.0,188.0,3.0,38.711324,-9.152576
245,252980,Private room,4.0,2.0,1.0,49.0,3.0,38.723731,-9.143511
246,253441,Entire home/apt,5.0,4.0,1.0,77.0,3.0,38.71025,-9.148843
247,254105,Private room,4.5,1.0,1.0,36.0,3.0,38.723379,-9.13995
248,254571,Entire home/apt,4.5,,4.0,390.0,3.0,38.716113,-9.150012
249,256093,Entire home/apt,5.0,3.0,1.0,68.0,3.0,38.710018,-9.150792
250,256122,Entire home/apt,4.5,4.0,2.0,77.0,4.0,38.723774,-9.145211
251,257480,Entire home/apt,4.5,4.0,1.0,70.0,2.0,38.712792,-9.124571
252,257560,Entire home/apt,5.0,4.0,1.0,70.0,2.0,38.71069,-9.128266
253,259486,Entire home/apt,4.5,4.0,2.0,49.0,3.0,38.706413,-9.181888
254,261733,Entire home/apt,4.5,4.0,2.0,84.0,3.0,38.713287,-9.144424
255,262251,Private room,,1.0,1.0,91.0,1.0,38.746205,-9.15094
256,262616,Entire home/apt,5.0,4.0,1.0,118.0,2.0,38.715743,-9.15657
257,262900,Entire home/apt,4.5,3.0,2.0,104.0,2.0,38.713985,-9.133172
258,263399,Entire home/apt,4.5,5.0,3.0,104.0,3.0,38.72732,-9.163733
259,264078,Entire home/apt,4.5,,1.0,61.0,3.0,38.712085,-9.132161
260,266358,Private room,4.5,2.0,1.0,35.0,1.0,38.718868,-9.138777
261,266659,Private room,,2.0,1.0,54.0,2.0,38.712707,-9.153326
262,267235,Entire home/apt,4.0,4.0,2.0,91.0,2.0,38.724333,-9.156106
263,268343,Entire home/apt,4.5,,3.0,153.0,2.0,38.712828,-9.146837
264,270172,Entire home/apt,4.5,3.0,1.0,70.0,4.0,38.716606,-9.153624
265,271430,Entire home/apt,5.0,4.0,2.0,153.0,2.0,38.711762,-9.143049
266,271508,Entire home/apt,4.5,4.0,1.0,84.0,3.0,38.709445,-9.14578
267,272438,Entire home/apt,5.0,4.0,1.0,121.0,3.0,38.713609,-9.141161
268,272947,Entire home/apt,4.5,,2.0,111.0,3.0,38.715154,-9.158257
269,274547,Entire home/apt,4.0,4.0,2.0,77.0,3.0,38.710961,-9.128217
270,275671,Entire home/apt,4.5,4.0,1.0,84.0,2.0,38.708893,-9.137686
271,276795,Entire home/apt,4.5,4.0,2.0,230.0,3.0,38.711276,-9.143708
272,277607,Entire home/apt,5.0,4.0,2.0,91.0,2.0,38.712626,-9.14077
273,278413,Entire home/apt,5.0,4.0,1.0,77.0,2.0,38.712169,-9.141737
274,278774,Entire home/apt,4.5,3.0,1.0,47.0,2.0,38.710559,-9.148644
275,279346,Entire home/apt,4.5,,3.0,124.0,3.0,38.717974,-9.152027
276,279549,Entire home/apt,5.0,,3.0,209.0,3.0,38.70996,-9.143471
277,279629,Entire home/apt,3.5,4.0,1.0,85.0,3.0,38.710284,-9.141757
278,279804,Entire home/apt,5.0,4.0,1.0,91.0,2.0,38.708238,-9.156471
279,280219,Entire home/apt,5.0,5.0,3.0,111.0,3.0,38.714151,-9.130157
280,281407,Entire home/apt,,,3.0,251.0,3.0,38.726839,-9.144254
281,281639,Private room,4.5,2.0,1.0,42.0,2.0,38.703309,-9.200099
282,285485,Entire home/apt,5.0,2.0,1.0,111.0,2.0,38.709971,-9.134083
283,285760,Entire home/apt,4.5,3.0,1.0,93.0,3.0,38.711533,-9.154653
284,285944,Entire home/apt,5.0,3.0,1.0,70.0,2.0,38.708101,-9.148143
285,286153,Shared room,4.5,2.0,1.0,14.0,1.0,38.729525,-9.167495
