host_id,room_type,neighbourhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,date
17297103,Private room,Santa Maria Maior,0,3.821327873,2,1,75,1,38.712059,-9.13749,20/3/16
29284951,Entire home/apt,Campo de Ourique,4,4.5,4,2,87,3,38.716302,-9.163052,20/3/16
2636887,Entire home/apt,Santa Maria Maior,42,3.5,4,1,32,1,38.716122,-9.136894,20/3/16
61830302,Entire home/apt,Santo António,0,3.821327873,4,2,70,2,38.723659,-9.147732,20/3/16
29202743,Entire home/apt,Parque das Nações,3,4.5,5,2,128,3,38.769326,-9.097507,20/3/16
38974840,Entire home/apt,Penha de França,2,4.5,5,2,58,2,38.72674,-9.128193,20/3/16
24395659,Entire home/apt,Santa Maria Maior,4,4,5,2,133,1,38.712137,-9.130155,20/3/16
13720258,Private room,São Vicente,41,4.5,1,1,18,1,38.719106,-9.121554,20/3/16
21862494,Entire home/apt,Arroios,24,5,3,1,46,2,38.731701,-9.136765,20/3/16
20505600,Entire home/apt,São Vicente,12,4.5,4,1,81,2,38.71867,-9.122427,20/3/16
53607985,Private room,Santa Maria Maior,1,5,2,1,46,2,38.714263,-9.140448,20/3/16
2623391,Private room,Arroios,84,5,2,1,22,2,38.72712,-9.13431,20/3/16
2475531,Private room,Alvalade,13,5,2,1,35,1,38.750729,-9.144276,20/3/16
1341386,Private room,Misericórdia,12,5,2,1,35,2,38.713354,-9.149339,20/3/16
8528306,Entire home/apt,São Vicente,46,4,2,1,45,3,38.7177,-9.124957,20/3/16
21714387,Entire home/apt,Misericórdia,9,4.5,5,2,75,3,38.713733,-9.144722,20/3/16
3897446,Entire home/apt,Santa Maria Maior,5,5,3,1,88,2,38.712817,-9.126885,20/3/16
60487693,Entire home/apt,Arroios,0,3.821327873,4,1,88,2,38.719707,-9.137961,20/3/16
27885037,Private room,Penha de França,0,3.821327873,2,1,46,2,38.736932,-9.13062,20/3/16
60717,Entire home/apt,Santa Maria Maior,3,4.5,2,1,69,4,38.708728,-9.139594,20/3/16
13667856,Entire home/apt,Misericórdia,79,4.5,5,2,64,1,38.711961,-9.147132,20/3/16
24671413,Entire home/apt,São Vicente,49,4.5,5,2,138,2,38.714891,-9.124401,20/3/16
50515357,Private room,Arroios,1,5,2,1,16,5,38.734839,-9.135426,20/3/16
4189583,Entire home/apt,São Vicente,71,5,4,2,157,2,38.719863,-9.131453,20/3/16
24654595,Private room,Santa Maria Maior,0,3.821327873,1,1,58,2,38.710429,-9.1393,20/3/16
50266943,Entire home/apt,Carnide,6,5,4,0,43,3,38.766211,-9.181059,20/3/16
4861007,Entire home/apt,Misericórdia,18,4.5,4,0,92,1,38.709216,-9.150483,20/3/16
9330931,Private room,Arroios,1,5,2,1,20,1,38.736553,-9.134785,20/3/16
1788136,Entire home/apt,São Vicente,54,4,4,2,113,2,38.719818,-9.131798,20/3/16
1805140,Entire home/apt,Arroios,15,5,5,2,99,3,38.721785,-9.140662,20/3/16
7604112,Entire home/apt,Misericórdia,11,3.5,3,1,70,2,38.708352,-9.146913,20/3/16
41705745,Entire home/apt,Alvalade,0,3.821327873,4,1,83,2,38.756623,-9.168692,20/3/16
52849394,Private room,Campo de Ourique,0,3.821327873,2,1,40,1,38.718088,-9.168375,20/3/16
34470807,Entire home/apt,Santa Maria Maior,55,4.5,2,1,35,1,38.713956,-9.135413,20/3/16
32220346,Entire home/apt,Santa Maria Maior,2,5,4,1,40,2,38.712988,-9.127109,20/3/16
31281376,Entire home/apt,Estrela,24,4.5,5,2,81,2,38.714325,-9.158251,20/3/16
37795186,Private room,Estrela,4,5,3,1,66,1,38.707933,-9.15459,20/3/16
23153235,Private room,Ajuda,14,4.5,1,1,27,2,38.70478,-9.19591,20/3/16
8137976,Entire home/apt,São Vicente,30,5,3,1,61,3,38.720315,-9.129819,20/3/16
